"CycID","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"Rbm25","0.611111111111111","1","24","18","0.168762363160526","7.66853851887139","0.098224993288119","0.0128088283114701"
"Smarcc2","1","1","20","2","0.149910384244278","4.64614037334331","0.0501655126715158","0.0107972443018155"
"Lemd3","0.611111111111111","1","20","14","0.0437940003651166","6.32477929293133","0.183360659722498","0.0289908392419992"
"Pbrm1","1","1","20","0","0.352272747857094","4.54406002021173","0.140811146400109","0.0309879591761089"
"Nop56","0.611111111111111","1","20","16","0.190038876534786","9.82322073211319","0.231079565938599","0.0235238087629625"
"Ddx18","1","1","20","12","0.138946696998116","6.7670015008764","0.0448530984707028","0.00662820873689681"
"Myh11","1","1","20","10","1.40292019903822","-2.54264057930645","0.390533609485747","0.153593713820249"
"Canx","1","1","24","12","0.113742144312276","8.13394889676213","0.0422613462753685","0.00519567393547204"
"Nop14","1","1","20","4","0.0891647982155488","6.36060606284371","0.0967032137675528","0.0152034590433853"
"Ddx17","1","1","20","10","0.101805924820942","7.38750729867401","0.0372801820623683","0.00504638175708601"
"Cpsf1","1","1","24","0","0.0897684930171655","6.25387892405354","0.143399093103575","0.0229296241332777"
"Cps1","0.611111111111111","1","20","6","0.209473783098424","5.58894560391765","0.252885129402636","0.0452473771126656"
"Eftud2","1","1","20","14","0.0470432557532904","8.20041794086672","0.0299731288743209","0.00365507332558625"
"Srrt","1","1","24","18","0.163283592216937","7.07717161341864","0.137063544977709","0.0193669946787541"
"Tcerg1","1","1","20","16","0.105642676110197","6.29325514404401","0.0875497964241552","0.0139116871031382"
"Pds5b","0.611111111111111","1","24","10","0.143746060193438","5.23847677031312","0.166468289649739","0.0317779951975979"
"Rrp12","1","1","24","22","0.114238918129805","6.20946655633041","0.108983753627438","0.0175512264441349"
"Itpr1","0.183333333333333","0.839847417840376","20","8","0.17947574629188","2.92187831562423","0.180734075773501","0.061855442373167"
"Ints1","0.611111111111111","1","20","16","0.149841992110627","5.45616403073674","0.15355742442681","0.0281438431032792"
"Itpr3","0.611111111111111","1","20","8","0.150596436526652","2.70664256158007","0.208509614521088","0.0770362579384571"
"Tln1","0.183333333333333","0.839847417840376","24","4","0.146448686481739","2.67236645434374","0.241335760776239","0.0903078843786433"
"Rbbp6","1","1","24","0","0.13178553017441","4.25472803054979","0.123377452871757","0.0289977295812758"
"Hnrnpa2b1","1","1","20","2","0.119968794661666","9.52727992553672","0.0701449532140186","0.00736253723646805"
"Zbtb20","0.183333333333333","0.839847417840376","20","18","0.339210063528469","6.68551559009811","0.32727084605504","0.0489522224044709"
"Nat10","1","1","20","16","0.103262147435356","7.75133733458876","0.159845645053512","0.020621686059286"
"Fn1","1","1","20","18","0.24223529374802","3.25285914285424","0.211993416737375","0.0651714099588585"
"Flnb","0.611111111111111","1","20","4","0.238897394686128","2.49667394004951","0.25308509409509","0.101368901255112"
"Rpn1","0.0305555555555556","0.606912637828668","24","8","0.140735490021451","6.44383334930025","0.226335634034975","0.0351243773334941"
"Hspa8","0.611111111111111","1","20","18","0.315233523399514","7.4750801427834","0.28873653688085","0.0386265473233223"
"Hnrnpa3","1","1","20","16","0.115078575221941","8.58949572550372","0.217500806735007","0.0253217201202172"
"Dhx15","0.611111111111111","1","24","14","0.0252588256149082","7.19368158511435","0.0608602826347501","0.00846024138192136"
"Ddx27","1","1","20","18","0.175172976099463","7.02494772536147","0.0755092993970782","0.010748734702249"
"Vim","1","1","20","0","0.0124707023999373","5.91884195234969","0.00200140559508102","0.000338141415363607"
"Ttn","1","1","20","12","1.92086345929057","4.13604129101697","1.16635438648845","0.281997761729711"
"Ep400","1","1","20","16","0.255070667921677","4.05214958354012","0.298864359852225","0.0737545230477709"
"Wdr33","0.611111111111111","1","24","20","0.0691185270254538","5.39668032496394","0.121497869303151","0.0225134456716153"
"Atp1a1","0.183333333333333","0.839847417840376","20","8","0.375707818492413","5.49845830922307","0.31623124661816","0.0575127115336524"
"Hspg2","1","1","20","4","0.46091359213824","2.13041931996612","0.10539394005749","0.0494709839841136"
"Pds5a","1","1","20","10","0.130056609631224","4.11096950393522","0.115900877779753","0.0281930765160887"
"Hnrnpul2","1","1","20","0","0.255561420718727","6.52255889392673","0.226956592531471","0.0347956371452306"
"Nop58","1","1","20","16","0.209425809425298","8.47250665296612","0.204151085098331","0.0240957125748447"
"Chd1","1","1","20","18","0.215241675614319","2.73871250550847","0.224068946836859","0.0818154320273418"
"Ilf3","1","1","20","2","0.181569673248231","4.87753067627745","0.0758165421144557","0.015544042087362"
"Top1","1","1","24","6","0.137601800537783","6.6230062960004","0.0120984477205644","0.00182673051781192"
"Wdr3","0.183333333333333","0.839847417840376","20","18","0.266125639350962","6.43904195449408","0.196660450212494","0.0305418805471887"
