,CT0,CT4,CT8,CT12,CT16,CT20
Prpf3,6.77678908878607,6.88788605426521,6.78298466943455,6.99582924420619,6.75349666082108,6.98232103798319
Fbl,8.67185383896378,8.27357691614309,8.7547182544333,8.85004568693428,8.82344001576111,8.91753572596669
Rbmxl1,5.77603325463319,5.79934315166557,5.16351472815169,5.82087212985797,6.02514782161964,6.10209912809826
Macf1,-0.363128089421857,1.08250699820661,0.0986824002525424,0.390000383583055,1.30618009914776,1.53401619579615
Znf326,6.48221909175607,6.30989524150982,6.13196345106103,6.35870738139567,6.31527116389245,6.34101641251343
Prox1,5.38419892425828,4.74891435336391,4.31170293387853,5.12769504174012,5.6087043822375,5.18291306387086
Stag2,4.19189414384093,4.02513966955704,3.95037933663932,3.99181777316884,3.76908654259699,3.59250990621865
Gpatch8,3.19514606600118,3.05485455596072,3.18844757492921,3.17860447328506,3.26440206020698,3.36828539081551
Iqgap2,3.96893057970727,3.81158617850697,3.9559623164831,4.18101539418583,3.86041705797102,3.90191071401996
Utp14a,6.03356452285191,5.87452652074107,6.14136270561584,5.84408426569346,5.69847096641143,5.90238846857484
Med12,3.04993236993743,2.99545988387728,3.17897717295382,3.20556245126042,3.20137413905114,2.99673417950087
Supt16h,5.46865708758555,5.72591216895133,5.53580905299708,5.28916213885147,5.41298689788754,5.31006931098645
Smarca2,2.97773830135736,2.65017558632219,2.24540937273041,2.45700560465135,2.75143280792975,2.44447183496319
Bclaf1,5.81651080829176,6.22340240635248,6.29014613623806,6.85628276114279,6.51588733929522,6.65177661668866
Plrg1,6.12954416543987,6.26929891072244,6.22140061191237,6.36015384196241,6.03925133343473,6.25113885515393
Smarca4,3.07870221685669,2.8773570095013,2.71356357295203,2.9202481765748,3.03452551770307,2.41097568925028
Gtf3c1,4.56691145487689,4.50778135418368,4.201524740626,4.58623960654939,4.59768809235803,4.22743163488825
Prpf4,6.1608591350896,6.3332781279171,6.2673378347972,6.15812477364862,5.96632564545305,6.04416029790038
Bop1,6.62316600430073,5.94601557304382,6.66575707351204,6.58866335748038,6.74251348460495,6.72180063873075
Prp4k,5.10789118073907,5.21412260858853,5.08278814130762,5.29629225636668,5.30136829574062,5.37392832626927
Cpsf2,5.6895562643667,5.6773280600235,5.26055205776041,5.91404707204742,5.58353814773778,5.80622797542374
Ubtf,6.33996202984807,6.49451315105507,6.52729520120861,6.31832432744811,6.36202705111701,6.1498179814629
Utp18,5.8969082262104,5.32771157885428,5.50849284302218,5.72617658282327,5.7886791733262,5.68400993298825
Zc3h14,5.10518305979112,5.21004899288802,4.9189008422163,5.27256468837985,5.16738874268751,5.3614364028146
Dnttip2,6.38433915296983,5.91480484885508,6.25393023656687,6.18591846857593,6.32523732893307,6.42367531087428
Nup54,6.56001922324337,6.43177821547784,6.64934106413924,6.34201849073569,6.33923778497288,6.27918330762169
Zhx3,5.34417000983641,4.74444461413855,4.64760722318132,4.74406171311956,5.17387684726959,4.71075342987008
Thoc1,5.98860712643771,6.07442805124994,5.59573283408162,6.00170699999118,6.14095000425223,6.17145602752155
Hnrnpl,8.02526611697384,8.10546660701955,6.84552795534002,7.76048372090921,7.82067153681822,7.63218200285244
Rreb1,4.04492049401995,3.80690640665308,3.41102406178653,3.49660911518243,3.93441088778342,3.43868484302059
Ncl,8.78470630845732,8.33985428928625,8.3982423325439,8.63983526253332,8.79146139676969,8.92093834200348
Cyp2a12,7.00015099077342,6.62664424714159,7.03911505708797,6.63079612488389,6.63227392607682,6.52829479689818
Zc3h11a,4.67971589065306,4.37070987186869,3.92111079701865,4.51179777775295,4.44698494665236,4.4708850113616
Acsl1,7.15302023413012,7.28026783846166,7.42129584757967,7.03844364292876,6.93839156953958,7.14134590292431
Znf318,3.28501675743235,2.98914239649746,3.20771138221998,3.40272851239075,3.41742027709244,3.26723281016969
Ddx3x,1.83979566606143,1.6399472912528,1.64306262856014,2.03368500318159,2.03392529117571,1.84620970219313
Paxbp1,5.15430665736463,5.203585410567,5.40220476009774,5.22174320981163,5.10862355292235,5.25584702286473
Rrp1b,4.86144588449435,4.91618752508731,5.44727623662335,4.95731484135501,4.9460194457838,5.25934806907758
Adnp,3.33226412916634,3.34902847600933,3.11016869588568,3.07678868947828,2.70975853412665,3.0068259718627
Tasor2,2.63043742024138,2.78963014508127,3.17601677907797,3.09599009973468,2.45927625729005,2.49558685144333
Znf592,3.32399479768213,3.0404472485687,2.80403413571539,3.04471077369459,3.09250145325886,2.92789567418936
Pom121,5.86234099795371,5.49551870483206,5.89885819741273,5.76570234826568,5.7226529294991,5.64070579030993
Rbm14,8.31381404243774,8.3782273899417,8.38173763327826,8.7655238254993,8.36688665705315,8.51738764664747
Eif4a3,8.23842887823934,8.32083494846488,8.04787620573211,8.25192609769645,8.29136017802138,8.30874809799817
Rprd2,4.12081717108853,4.00701623093995,3.96884159508656,3.80705148204949,3.75787468945603,4.01711803648888
Ints3,4.91665941954935,4.69820537491142,4.7738419475366,4.95491891248182,4.92222971475559,4.7074507347751
Pwp2,6.28719720229441,5.82494698283221,5.88010103448479,5.83604533769824,6.21124337725535,6.1450696912923
Ddx10,5.62021415350512,5.09889242953454,5.36186821094527,5.28991305090009,5.54038621298605,5.5264293710382
Snw1,6.27542634122625,6.30929036554745,6.25590165657032,6.58190538894539,6.37877107616684,6.36691275693087
Cdc40,5.77997563363738,5.80548125512293,5.70966533057211,5.91735405250196,5.75026534243238,5.80112206903071
Hcfc1,4.74205878425941,4.31880828158357,4.4237789738941,4.42806398178914,4.32334102196253,4.20828708287919
Eef1a1,7.54821031957365,6.99662535189353,6.66115022878263,6.3415995826854,6.7895840494247,6.51359026310668
Sf3a3,7.12374435945364,6.97355932972374,6.99505974971446,7.16299356396168,6.92052294930985,6.94105390733091
Ddx54,6.12493470379885,5.79282678566828,6.23790759445847,6.14166330336518,6.27996947344981,6.32313712032455
Kpnb1,7.39912458255268,7.30752322337829,7.59156472396081,7.37449386149063,7.14776559091105,7.49072027121547
Tln2,1.67349967607138,1.49018978243165,2.87802127439275,1.88394448599579,0.631094974405267,1.50476793244644
Cpsf3,5.85848116163401,5.7779666680736,5.25959676219321,5.69549875827453,5.63480238394008,5.81543698649738
Ints4,4.27562444510976,4.12593798128845,3.85921893870117,4.43357523461443,4.47763789621257,4.28272703311181
Rbmx,3.97521345570696,4.12277733592768,3.41119048957234,3.89393837018494,4.26032482647271,4.20102041290292
Ephx1,7.70038823600908,7.57658631569814,7.91561362118334,7.77100747846177,7.53421388834712,7.65750040184959
