BH.Q	ADJ.P	PER	LAG	AMP
Dbp	0.0406223632287903	0.000486119768420189	24	14	0.394576544158563
Bclaf3	0.0406223632287903	0.000486119768420189	20	12	0.361164542236271
Upb1	0.0471301696362048	0.000755028774330245	20	18	1.43693896613591
Gabpa	0.0471301696362048	0.000755028774330245	20	18	1.42406696230838
Alas1	0.0471301696362048	0.000755028774330245	24	16	1.38011467506776
Gps2	0.0471301696362048	0.000755028774330245	20	18	1.23345658362314
Utp15	0.0471301696362048	0.000755028774330245	20	18	1.19805514172631
Rbm19	0.0471301696362048	0.000755028774330245	20	16	1.1518147277712
Tbc1d2b	0.0471301696362048	0.000755028774330245	20	16	1.07114011353817
Rsrp1	0.0471301696362048	0.000755028774330245	20	18	1.04164808041446
Utp6	0.0471301696362048	0.000755028774330245	20	18	0.933101423869076
Insig2	0.0471301696362048	0.000755028774330245	20	4	0.928699681405749
Ppara	0.0471301696362048	0.000755028774330245	20	16	0.879245402906779
Dus3l	0.0471301696362048	0.000755028774330245	20	18	0.861477498026334
Smad3	0.0471301696362048	0.000755028774330245	20	2	0.824626460431671
Rps27	0.0471301696362048	0.000755028774330245	24	20	0.733450438187228
Nxt2	0.0471301696362048	0.000755028774330245	24	8	0.733212895387067
Pcbd1	0.0471301696362048	0.000755028774330245	20	18	0.702630945091128
Snapc1	0.0471301696362048	0.000755028774330245	24	16	0.677754457053088
Pttg1ip	0.0471301696362048	0.000755028774330245	20	2	0.489971108383192
Myh1	0.0471301696362048	0.000755028774330245	20	18	0.390403606258086
Ehd2	0.0471301696362048	0.000755028774330245	24	2	0.354563147634574
Alg10b	0.0471301696362048	0.000755028774330245	24	8	0.349896690935655
Ranbp3	0.061528092070492	0.00115194459193934	20	18	1.46288874809526
Ifih1	0.061528092070492	0.00115194459193934	20	16	1.36641944326322
Ncoa2	0.061528092070492	0.00115194459193934	20	18	1.35079913290164
Pdxdc1	0.061528092070492	0.00115194459193934	22	17.05	1.29838579855369
Elk4	0.061528092070492	0.00115194459193934	20	18	1.18989484116233
Trim37	0.061528092070492	0.00115194459193934	20	18	1.13929837581213
Dcaf13	0.061528092070492	0.00115194459193934	20	16	0.837569281899128
Rbck1	0.061528092070492	0.00115194459193934	24	18	0.81779240817788
Gnl2	0.061528092070492	0.00115194459193934	20	18	0.793632422408132
Actn1	0.061528092070492	0.00115194459193934	24	22	0.725464954818822
Tmem53	0.061528092070492	0.00115194459193934	24	5	0.658650564134198
Cyp2c55	0.061528092070492	0.00115194459193934	24	10	0.617136028607462
Trim27	0.061528092070492	0.00115194459193934	24	10	0.563881346635934
Cmss1	0.061528092070492	0.00115194459193934	20	16	0.553657738877962
Cacul1	0.0688814267015978	0.00172835079544638	20	18	1.50588932871183
Unknown_20	0.0688814267015978	0.00172835079544638	20	18	1.48475320684784
Klhl22	0.0688814267015978	0.00172835079544638	20	18	1.39609117038145
Nacc2	0.0688814267015978	0.00172835079544638	20	18	1.29277840161474
Nacc1	0.0688814267015978	0.00172835079544638	20	18	1.25571606745975
Hnf4a	0.0688814267015978	0.00172835079544638	20	18	1.23503236549379
Cyp2d26	0.0688814267015978	0.00172835079544638	22	5.13333333333333	1.20682006354741
Zfp120	0.0688814267015978	0.00172835079544638	20	18	1.19405413394436
C8a	0.0688814267015978	0.00172835079544638	24	20	1.16035678588482
Depdc7	0.0688814267015978	0.00172835079544638	20	18	1.15640530505905
Rpl11	0.0688814267015978	0.00172835079544638	24	18	1.15478244047197
Cebpb	0.0688814267015978	0.00172835079544638	20	16	1.14666147535469
Tspyl1	0.0688814267015978	0.00172835079544638	20	18	1.13752103943419
Trmt2a	0.0688814267015978	0.00172835079544638	20	18	1.1263124713565
Mlx	0.0688814267015978	0.00172835079544638	20	18	1.12575537016031
H2ac15	0.0688814267015978	0.00172835079544638	24	20	1.12281393865162
Iffo2	0.0688814267015978	0.00172835079544638	20	16	1.11274496700553
Nr1d1	0.0688814267015978	0.00172835079544638	24	14	1.08931244131312
Tat	0.0688814267015978	0.00172835079544638	20	18	1.06237242710212
Ltv1	0.0688814267015978	0.00172835079544638	20	14	1.05234153019818
Magi3	0.0688814267015978	0.00172835079544638	24	2	1.03769687022975
Nostrin	0.0688814267015978	0.00172835079544638	24	2	1.01063408672155
