"","Gene_names_unique","variance_ratio","p_val","q_value_BH"
"Rab4b","Rab4b",3.60467242222876,0.037,0.765108140947752
"Apoa4","Apoa4",5.94006010281684,0.024,0.765108140947752
"Akap1","Akap1",7.96765455152124,0.017,0.765108140947752
"Dnm2","Dnm2",4.14822523189027,0.043,0.765108140947752
"Rras2","Rras2",18.4351898802538,0.021,0.765108140947752
"Dbp","Dbp",11.6365534108163,0.042,0.765108140947752
"Gphn","Gphn",6.87427520348063,0.002,0.612235294117647
"Gpatch2l","Gpatch2l",17.3338985132663,0.031,0.765108140947752
"Stx17","Stx17",15.8486708882441,0.026,0.765108140947752
"Mgll","Mgll",7.95972944644123,0.037,0.765108140947752
"Ndufa12","Ndufa12",9.7602982572951,0.043,0.765108140947752
"Abcg5","Abcg5",2.60640069358606,0.044,0.765108140947752
"Bhlhe41","Bhlhe41",67.7587399015004,0.008,0.765108140947752
"Fdps","Fdps",1.8402071766153,0.015,0.765108140947752
"Bahcc1","Bahcc1",12.525092256571,0.045,0.765108140947752
"Smurf2","Smurf2",20.9850367089947,0.015,0.765108140947752
"Mgst3","Mgst3",7.26470948252104,0.048,0.765108140947752
"Trim27","Trim27",3.26109431997149,0.038,0.765108140947752
"Cpn1","Cpn1",44.4346187543904,0.019,0.765108140947752
"Cma1","Cma1",7.88855104752238,0.037,0.765108140947752
"Dlat","Dlat",5.72997328010939,0.013,0.765108140947752
"Znf668","Znf668",2.06931776003802,0.045,0.765108140947752
"Gsta1","Gsta1",5.04374663482939,0.024,0.765108140947752
"Enpp3","Enpp3",1.42385945396718,0.025,0.765108140947752
"Dusp11","Dusp11",15.2223302167583,0.005,0.765108140947752
"Rpl35a","Rpl35a",3.14822600714567,0.05,0.765108140947752
"Pak4","Pak4",6.44164592577427,0.046,0.765108140947752
"Cars1","Cars1",24.5913075130232,0.007,0.765108140947752
"Bmp2k","Bmp2k",6.22658346836785,0.043,0.765108140947752
"Qpctl","Qpctl",292.957232383989,0.013,0.765108140947752
"Arl6ip4","Arl6ip4",4.05454545108339,0.021,0.765108140947752
"Rps27","Rps27",11.3404354825627,0.009,0.765108140947752
"Ing1","Ing1",15.4404205413417,0.046,0.765108140947752
"Urah","Urah",61.7766916593607,0.023,0.765108140947752
"Atp6v1h","Atp6v1h",2.6229884360525,0.036,0.765108140947752
"Bod1","Bod1",35.0046990540001,0.028,0.765108140947752
"Atp5mj","Atp5mj",8.7553911511655,0.016,0.765108140947752
"Bcl3","Bcl3",15.7888498730368,0.048,0.765108140947752
"Fra10ac1","Fra10ac1",4.96114287397405,0.025,0.765108140947752
"Spast","Spast",2.88920180511501,0.045,0.765108140947752
"Fzr1","Fzr1",39.6986460098835,0.01,0.765108140947752
"Ptp4a1","Ptp4a1",6.08041368772,0.025,0.765108140947752
"Eif4g2","Eif4g2",6.34931035212275,0.007,0.765108140947752
"Rpusd4","Rpusd4",41.5836094265995,0.015,0.765108140947752
"Srp14","Srp14",2.28386550344417,0.014,0.765108140947752
"Vat1","Vat1",0.78055332972501,0.032,0.765108140947752
"Pabir1","Pabir1",9.58151816685248,0.018,0.765108140947752
"Lama2","Lama2",9.61239058212569,0.041,0.765108140947752
"Gng10","Gng10",105.991777268847,0.011,0.765108140947752
"Dda1","Dda1",1.6573425896101,0.041,0.765108140947752
"Cav2","Cav2",4.47095138675987,0.036,0.765108140947752
"Eif4b","Eif4b",6.39868957817489,0.044,0.765108140947752
"Evi5","Evi5",82.8537187123552,0.012,0.765108140947752
"Apoc4","Apoc4",7.29592666529176,0.021,0.765108140947752
"Lamtor2","Lamtor2",12.0571718830963,0.01,0.765108140947752
"Nr1h2","Nr1h2",3.35408936111112,0.008,0.765108140947752
"Taf1c","Taf1c",7.41712248167954,0.023,0.765108140947752
"Znf629","Znf629",6.04586333905119,0.041,0.765108140947752
"Mcm10","Mcm10",10.7104603324255,0.022,0.765108140947752
"Tram2","Tram2",30.4705294159479,0.037,0.765108140947752
"Cbr1","Cbr1",3.20314910174124,0.046,0.765108140947752
"Kyat3","Kyat3",28.8995621060237,0.006,0.765108140947752
"Kdelr1","Kdelr1",18.7733070076825,0.023,0.765108140947752
"Rmdn2","Rmdn2",7.02335782669294,0.028,0.765108140947752
"Polg2","Polg2",2.16393814103861,0.047,0.765108140947752
"Ccser2","Ccser2",8.02329435384727,0.001,0.578222222222222
"Usp14","Usp14",12.1809192601773,0.025,0.765108140947752
"Lrrc3","Lrrc3",8.39552275775121,0.044,0.765108140947752
"Gpx8","Gpx8",6.76066726489908,0.017,0.765108140947752
"Wee1","Wee1",3.49731136770599,0.049,0.765108140947752
"Abcd4","Abcd4",7.46758736257076,0.01,0.765108140947752
"Insig2","Insig2",25.4403217786362,0.025,0.765108140947752
"Mcrip2","Mcrip2",47.0505731653499,0.01,0.765108140947752
"Haao","Haao",85.2610550244814,0.016,0.765108140947752
"Sqstm1","Sqstm1",2.36082583055572,0.031,0.765108140947752
"Atn1","Atn1",11.8086588424083,0.009,0.765108140947752
"F11","F11",15.1749639506338,0.033,0.765108140947752
"Tiam2","Tiam2",1.90714305298142,0.043,0.765108140947752
"Med31","Med31",17.6738291841092,0.025,0.765108140947752
"Klrb1c","Klrb1c",9.24773582027954,0.003,0.743428571428571
"Ahsg","Ahsg",4.96569039401292,0.032,0.765108140947752
"Dpys","Dpys",1.95449975487102,0.002,0.612235294117647
"Ints15","Ints15",65.1251601456922,0.044,0.765108140947752
"Gata4","Gata4",10.0437672100751,0.038,0.765108140947752
"Znfx1","Znfx1",3.33989768105415,0.027,0.765108140947752
"Mpc2","Mpc2",7.09112812103635,0.007,0.765108140947752
"Huwe1","Huwe1",20.8111563087131,0.029,0.765108140947752
"Kcnj8","Kcnj8",15.3460882930337,0.012,0.765108140947752
"Timm8a1","Timm8a1",11.653761039889,0.037,0.765108140947752
"Klhl15","Klhl15",2.99212403418381,0.022,0.765108140947752
"Cdkn1b","Cdkn1b",5.8455087300478,0.027,0.765108140947752
"Znf382","Znf382",18.997892161,0.028,0.765108140947752
"Lcat","Lcat",6.81808131865395,0.027,0.765108140947752
