"","CT0","CT4","CT8","CT12","CT16","CT20"
"Fn1",1.76926365294397,-0.976852466252789,-0.126700556284082,-0.694715357244509,0.470771083529825,-0.441766356692418
"Flnb",0.688522784272447,1.09556474241253,-1.13039731259168,-0.0954539759776985,-1.24941469127248,0.691178453156878
"Rpn1",-0.618973444709311,0.34957387527793,1.78568723936334,0.0868714881583923,-0.719772595530741,-0.883386562559616
"Hspa8",1.17138585934569,-0.192905388816479,-1.27837211355144,-0.651466827339322,1.2103413759287,-0.258982905567155
"Hnrnpa3",0.611414578818327,0.60161659958144,-1.93781055623295,0.712108864364515,-0.0248145619354342,0.0374850754041163
"Dhx15",-0.717764638019168,-0.70874684980974,-0.631418024748582,1.74038186078826,-0.343449146686972,0.660996798476185
"Ddx27",0.906729075781833,-1.75768733269191,0.724644218909866,-0.37300332112435,0.636619911144579,-0.137302552020024
"Vim",0.138408319466116,0.03975393052814,-0.150315179789621,-0.409715911854146,1.72649442849247,-1.34462558684302
"Ttn",-1.49735035286429,-1.05347041261383,0.696828854579815,0.669328018582371,0.672510785671415,0.512153106644519
"Ep400",1.01911423006558,-0.87802420691043,-0.693001091090238,0.80248245949709,0.883391174423157,-1.13396256598517
"Wdr33",-0.0871697814760206,-0.419858559927234,-1.59718485288035,0.991213546452943,-0.0193614275486831,1.13236107537935
"Atp1a1",-0.969297675602758,1.11843632349311,0.837795304820485,0.387548298192662,-1.39888247512399,0.0244002242204877
"Hspg2",1.46650308095696,-0.354179291308239,0.779009303772243,-0.282647910395088,-1.41395164553617,-0.194733537489705
"Pds5a",0.395402003151117,-0.337962842677006,1.05840921497449,1.08496248669969,-1.02870995175253,-1.17210091039575
"Hnrnpul2",0.857531714115632,0.966529767965658,-1.6956246946412,-0.15987337097166,0.479001594781978,-0.4475650112504
"Nop58",1.44317386259443,-1.08596905717111,-0.484275818663414,1.00016972013098,-0.189661529125514,-0.683437177765384
"Chd1",1.56059884583633,0.0100403522603785,-1.23293731082362,-0.484271245433647,0.705359078874391,-0.558789720713824
"Ilf3",0.873232552636724,1.48887338330585,-0.981030515203435,-0.488753031741253,0.0128055454446486,-0.905127934442535
"Top1",1.10897100262521,0.69639440535875,0.389069859990701,-0.0890042129324823,-0.378363587551849,-1.72706746749033
"Wdr3",0.774841254044355,-1.74759556928605,-0.466017180889724,-0.047023188038539,0.848620192952691,0.637174491217258
"Atp2a2",0.57038263381294,-0.651561557927524,1.73076242694232,-1.03009177473962,-0.338193568603102,-0.281298159485028
"Ik",-1.42445642239745,1.05674038288556,-0.0512046429104343,-0.0295412247878318,-0.711228832634443,1.15969073984464
"Supt5h",0.461328367040731,0.265118255545442,-1.71567821167591,1.19561744811138,0.298390236651663,-0.504776095673324
"Gtpbp4",-0.0447011800945983,-1.94641063864974,0.723226215562425,0.202358366590141,0.335522374023718,0.730004862568042
"Hnrnpu",0.572248313699429,0.39550326794036,-1.94697370706791,0.836304681436764,0.160296209610303,-0.0173787656189389
"Prpf40a",-0.34597697362831,-1.49531651615352,-0.354550541501964,1.50463276256407,0.434532864650775,0.256678404068943
"Ddx46",-0.0625138545618626,0.265540842701633,-1.48188649893449,1.04156614978699,-0.780402364084231,1.01769572509196
"Tfip11",-0.479870668403912,-0.096825630634224,-1.69756767476002,0.686863288166458,1.06472735573605,0.522673329895646
"Wdr75",0.873108171693537,-1.63705540648241,-0.483094436482708,-0.213555395133706,1.0559315168526,0.404665549552686
"Xab2",-0.729098672811751,-0.26308719917026,-1.48852050431821,1.1039251240308,0.780837831053186,0.595943421216231
"Rbm15",-1.10059906687331,-0.0167029558696321,-0.386345732888917,0.975938061811379,-0.864738485289867,1.39244817911037
"Ctr9",1.26681130336488,0.740897754095403,-1.62460972436285,-0.0383978539052904,0.0978519001817984,-0.442553379373933
"Tmpo",1.01223446654613,-1.6359815557591,-0.500880897886232,0.208645826946683,-0.0828505418999439,0.998832702052452
"Zc3h18",0.0120091923479425,1.11761985039103,-1.84240671226285,0.219939652740054,-0.0589504806527135,0.551788497436535
"Brd4",0.790343992868899,1.16257750599941,0.503404412624701,-0.123469326930982,-1.296811029003,-1.03604555555903
"Exosc10",0.518946700360104,-0.182529386055145,0.719312755476347,-0.488375798820963,-1.65854261071005,1.09118833974973
"Mtrex",0.919809871708701,0.136173059562174,0.93797630303645,-1.02139976907382,-1.41886048186238,0.446301016628884
"Thoc5",-0.179557953538737,0.129325768105284,-1.89277452600318,0.380835231058698,0.8211671602597,0.741004320118234
"Ncor2",0.797796204963434,-0.501271259702871,-1.34252615908294,-0.414817667977854,1.46212053530187,-0.00130165350164201
"Nup160",-0.0102204875697974,-1.87636511255614,1.11332292714441,0.384993803098813,0.283758594145642,0.104510275737066
"Ints6",-0.126594135263007,-0.853251826086115,-1.0576496585127,1.1372360013275,1.2982963710192,-0.398036752484876
"Ncor1",1.02759950837611,-0.314855816413212,-1.45436725090646,-0.186236054441547,1.25909499886875,-0.331235385483639
"Polr1a",0.329843887395445,-1.32565826375042,-1.07724140311011,1.25489627616194,0.587863121649611,0.230296381653528
"Prpf3",-0.800225265199376,0.228398267933392,-0.742861681694124,1.22782165394446,-1.01588497692293,1.1027520019386
"Fbl",-0.186749566618954,-1.90285304929994,0.170298265754671,0.581046992422979,0.466407950230968,0.871849407510293
"Rbmxl1",-0.0155402514264614,0.055001830876502,-1.86918774918788,0.120154368849432,0.738348118943179,0.971223681945234
"Macf1",-1.3884976872421,0.545582054992252,-0.770652754952978,-0.380905567070034,0.844828813123102,1.14964514114975
"Znf326",1.40929648096909,-0.117708898165959,-1.69440765893633,0.314827863670988,-0.0700714853275537,0.158063697789747
"Prox1",0.695250749580778,-0.670026896787339,-1.60962940739122,0.144003272382232,1.17773103843014,0.2626712437854
"Stag2",1.2923612515517,0.49934536958487,0.14381589069393,0.34088009801373,-0.718338276857523,-1.55806433298671
"Gpatch8",-0.126786602455483,-1.48003872450548,-0.19140025765855,-0.28634683128702,0.541256824382342,1.54331559152419
"Iqgap2",0.172833466211118,-1.04699877143089,0.0722953763496752,1.81704763488648,-0.668431243712942,-0.346746462303439
"Utp14a",0.763771536857326,-0.267095262074764,1.46250747494522,-0.464418603645278,-1.40826795864523,-0.0864971874372546
"Med12",-0.538721845601837,-1.07480120629513,0.731245077248558,0.992878427022912,0.951660045158505,-1.062260497533
"Supt16h",0.0715795887722009,1.66482919951794,0.487469693584557,-1.04008069674331,-0.273200804274266,-0.910596980857112
"Smarca2",1.50101490770776,0.240411636681862,-1.31730415157499,-0.502990159618836,0.630093303472839,-0.551225536668631
"Bclaf1",-1.57493880874817,-0.462046875271372,-0.279495652897052,1.26894841944343,0.337930622634391,0.709602294838782
"Plrg1",-0.729920151677957,0.510263525826918,0.0852139989261093,1.31651022977118,-1.53117878673939,0.349111183893157
