BH.Q	ADJ.P	PER	LAG	AMP
Rps27	0.00970036845756821	6.79667700413499e-05	24	20	1.06049182180593
Tet3	0.00970036845756821	6.79667700413499e-05	24	20	0.976056283561934
Dcaf5	0.0140701580846014	0.000115014916222899	20	18	1.31856173090917
Sgta	0.0140701580846014	0.000115014916222899	20	16	1.30596692010784
Gnl3	0.0140701580846014	0.000115014916222899	20	18	1.13585217209603
Igbp1	0.0140701580846014	0.000115014916222899	20	18	1.12953206344145
Zcchc9	0.0140701580846014	0.000115014916222899	24	4	1.03309919120405
Ccs	0.0140701580846014	0.000115014916222899	20	18	0.978771057766004
Upb1	0.0171283464915431	0.000190018635659392	20	18	1.51586495420593
Fam222b	0.0171283464915431	0.000190018635659392	20	18	1.36237528703927
Esr1	0.0171283464915431	0.000190018635659392	20	18	1.16288521018994
Pcbd1	0.0171283464915431	0.000190018635659392	20	18	1.15130599527306
Plin5	0.0171283464915431	0.000190018635659392	20	18	1.13475241290288
Kif2a	0.0171283464915431	0.000190018635659392	20	18	1.11141762921812
Gpatch11	0.0171283464915431	0.000190018635659392	20	0	1.10006429503962
Ddx24	0.0171283464915431	0.000190018635659392	20	18	1.06592532332136
Trafd1	0.0171283464915431	0.000190018635659392	20	18	1.014843695888
Rpsa	0.0171283464915431	0.000190018635659392	20	18	0.856175417749443
Slc7a2	0.0171283464915431	0.000190018635659392	24	12	0.753137980547001
Stat6	0.0171283464915431	0.000190018635659392	20	18	0.68631549570374
Rpf2	0.0171283464915431	0.000190018635659392	24	20	0.638293660127281
Sbno2	0.0171283464915431	0.000190018635659392	20	18	0.619493010845043
Trim27	0.0171283464915431	0.000190018635659392	24	10	0.491991789828273
Herc4	0.0235475005252771	0.00030706160669396	20	18	1.58777609965562
Dnajb6	0.0235475005252771	0.00030706160669396	20	18	1.52851438653046
Unknown_20	0.0235475005252771	0.00030706160669396	20	18	1.41345602361494
Vcpip1	0.0235475005252771	0.00030706160669396	20	18	1.40227783235169
Ddx20	0.0235475005252771	0.00030706160669396	20	18	1.3810156294257
Prpf39	0.0235475005252771	0.00030706160669396	20	16	1.22938552153107
Abcg5	0.0235475005252771	0.00030706160669396	24	18	1.12995887853675
Topors	0.0235475005252771	0.00030706160669396	20	18	1.04275232285373
Foxo1	0.0235475005252771	0.00030706160669396	20	18	0.923488628448017
Tat	0.0235475005252771	0.00030706160669396	20	18	0.417410863584744
Hsf1	0.0280638580914936	0.000486119768420189	20	16	1.48321886949542
Nosip	0.0280638580914936	0.000486119768420189	20	18	1.46883177117413
Gabpa	0.0280638580914936	0.000486119768420189	20	18	1.45125386152649
Nacc2	0.0280638580914936	0.000486119768420189	20	18	1.35255078780364
Foxp4	0.0280638580914936	0.000486119768420189	20	18	1.28497745420686
Ttc36	0.0280638580914936	0.000486119768420189	20	18	1.2362004392596
