"CT0_1"	"CT0_3"	"CT0_4"	"CT4_1"	"CT4_3"	"CT4_4"	"CT8_1"	"CT8_2"	"CT8_3"	"CT12_1"	"CT12_2"	"CT12_4"	"CT16_1"	"CT16_2"	"CT16_4"	"Perko_1"	"Perko_2"	"Perko_3"
"Nipbl"	5.51175492661214	4.77599464595883	4.80106239783012	4.8387658068297	4.47080808303488	4.79669022997434	5.49207990501289	4.87417240327584	4.72933600388837	5.03415184804542	5.07052339859334	4.7285015989725	4.66489206020891	4.59251644642971	4.81304221048629	4.4955632881459	4.35358903396796	4.60147568421824
"Sltm"	6.61357526804116	6.8424682646172	6.18499760535773	6.93940614634609	6.687532840332	6.43203249094277	6.49870269564831	6.40511459759439	6.68055165671455	6.83815611551303	6.84663827979778	6.42348333446516	6.57567608167291	6.83371997403229	6.64930659016605	6.13218333696385	6.28757736031453	6.03113177227247
"Mad1l1"	6.23832530563328	6.7888446424322	6.04560449188238	6.51040436957376	6.705178911618	5.84962911767463	5.83388705452998	6.06773969536857	6.44718577644213	6.29398778050023	6.54670326828902	6.09843109581936	6.61569931112073	6.56580777854673	6.33619029632859	6.01117700963398	6.01482649647574	5.9305994055134
"Tasor"	5.27686567835708	5.31724977011119	4.25461022306025	5.10292697825123	5.26314579764851	4.94778990761132	5.5284428001741	5.12229871511142	4.9020909827965	5.2287742211224	5.20297670652307	5.29947421661779	5.11819182469179	5.0584508799236	5.33763458156435	4.50066727609301	4.82416822266277	4.99397004345211
"Smc3"	6.79397350151334	5.88595037275787	5.94712574506158	5.85218172544883	5.4287610225864	5.98981500148587	6.90691702701054	6.12967779285815	6.17870616831839	6.34273212036896	6.21342996774419	6.31022769782999	5.48495726234643	5.32366893955173	5.9320280797734	6.25712750361001	5.91333264128714	6.69327408118387
"Mia3"	3.86298272825254	4.42421337183453	4.35746115366724	4.13463855196541	4.10264932583702	4.03790051407484	3.07535482382654	4.72166376390774	4.46427678651474	3.8496555483864	4.45569617688149	4.52555441999444	4.38545645519979	4.23508597269709	4.20932241559727	4.7100540950888	4.17859040088569	4.55588871485862
"Top2b"	6.89097675314165	6.48819990738142	6.47636361803832	6.78317458867866	6.21928440679482	6.5356967405846	7.2191824890832	6.53143303797344	6.49111947811404	6.59237972516552	6.30647864829124	6.48006442608301	6.2402765351523	6.36268090583789	6.43856046567748	6.90020338979708	6.77326413669402	6.43381483986969
"Cdc5l"	7.45678959951666	7.06308499164332	5.75201695212458	7.520898280892	7.14163621109687	6.45047293888923	7.65110273206542	6.89077944691714	6.98804644977827	7.52457398677819	7.46364690287823	6.63439337887478	6.79500919206084	7.01969400123181	6.31460574680025	6.44947721179749	6.9683872666381	6.18942502270053
"Itpr2"	2.6428291976321	3.35512072432306	4.12579844630705	3.48661585513224	3.15302576043525	3.30491288042473	2.34149941759547	3.64468964260825	3.31675854752304	2.36483269599428	3.4396049919151	3.88993601583004	3.39736526203328	3.46338782208733	3.38494600233338	4.10854536310447	4.08577229843045	3.3955380742743
"Smarca5"	7.13526035025328	6.70185661604626	6.90038830920572	6.70179495242452	6.22866418981497	6.61235013119015	7.06327079302974	6.47480560980152	6.30645237123797	6.70959706444062	6.58217001705905	6.619453741973	6.56962905927821	6.73276418394347	6.88804755193239	6.58789753149365	6.40496407388527	4.98513478744466
"Sf3a1"	8.14595610507948	7.80934838185829	7.09600254377474	8.07652024692766	7.69402738658677	7.37715880575643	8.33843119473736	7.39299373899279	7.75163297867223	8.12220603397395	7.95855234829451	7.30049245169419	7.68190127970073	7.90408915461381	7.38505706678245	7.42196458112512	7.59064723748157	7.84927447447753
"Matr3"	8.33486092748601	8.53270243971275	8.35138240920631	8.4949833711117	8.30080678577855	8.40774149622265	8.39448083267916	6.96497986458951	8.14102986873458	8.3246875058993	8.27087175011017	8.29564496666149	8.09137298329267	8.01612127129463	8.31315965052063	8.00050901397565	7.89518702290709	7.68629866209248
"Eppk1"	3.81733908005701	3.64440892410233	3.96092258075474	4.7575939269669	4.49049054331238	3.8841449032522	2.4533770231592	3.95023484061031	4.61455724237952	3.27584179591577	3.91037126311904	4.16398388479625	4.42144391805387	4.52447667665658	4.52916106213113	5.33371850579908	4.71119822394964	3.49639903394618
"Ddx5"	9.39583211909219	9.40295815900467	8.96853882337808	9.162556752467	9.61745829888211	9.28485345476372	10.0698375396007	9.08426671333257	9.39252740211351	9.31771018625721	9.77017202094379	9.22247015178436	8.94832745100208	9.52412873672552	9.20705967271897	8.90001025449261	9.15275355310569	6.83375560396418
"Myh10"	0.699961667501437	1.63726692503711	2.99435491723825	2.17149101923022	1.63337831399404	1.6149019292742	0.905889119676903	1.44791412211455	2.23233943828536	1.43240804259668	1.46516268251982	1.66286404737108	1.27814621550703	1.42955669203753	1.63214199658507	2.19891698212622	2.2271533962871	2.09077824940243
"Setd2"	4.66054772904797	4.38317017895475	3.74870027450485	4.38729181191656	4.49162345854924	4.36547289469184	4.5958563594485	4.188215164873	4.01369860799859	4.77446756476589	4.77125180222764	4.42234710230634	4.50382506873607	4.5546549801964	4.39218391988969	3.47706814617709	3.92439190529795	4.39368723484892
"Safb2"	6.38176749110407	6.52453443868484	5.88914224644765	6.36559278844997	6.34306139199899	6.03253570534262	6.33803491556418	5.44936068215081	6.39529218155596	6.46704028938209	6.1310533980051	6.26948297481698	6.27487373916643	6.53257498108943	6.66228024801414	5.91347956829465	5.99506033721374	5.75903033153039
"Tor1aip1"	8.60623639514409	9.3808962643762	8.96272933583818	8.81741363047736	9.00419446532971	8.82928214006221	8.36244873642562	9.63225196211274	9.20749601986869	9.06265426197795	8.98321921758537	9.04536761190595	9.02703485669728	8.99422146606025	8.75892701442948	8.80234591158288	8.54738605492025	7.98965834042367
"Myh2"	-5.06928849596691	-5.75969665169854	-6.33010450620311	-6.35673089817444	-6.02068613763398	-5.1624707307665	-6.7388473893168	-4.59896499488706	-5.20066756720307	-5.44619412863402	-5.87332074268813	-5.9559950965689	-3.89476791776518	-4.32895210252626	0.617435691434562	-5.71025297087767	-6.08343526761624	-5.23868690787295
"Cebpz"	6.31738169334825	6.64120622236914	6.63384677848667	6.4779444736117	6.41691767761476	6.1361432181031	6.19352217962632	6.5703047005913	6.36444430393496	6.42573701704474	6.40276523875241	6.17169746179373	6.4172535904791	6.49403073757539	6.62722063151474	6.44081022457803	6.56917838317504	6.36010233265779
"Polr2b"	6.78385833898009	6.13147908556258	5.58145764958872	6.45259021060903	5.87708211263275	5.9065114432112	6.73694991323945	6.0700607851752	5.67173108151486	6.48454446439979	6.0429939365391	6.00188198436484	5.98831364013173	6.1664845875684	6.14694220316152	5.83133228793884	6.07453735775637	5.3243952291093
"Pnn"	8.23857119392158	8.56434740799511	7.62288033193039	8.59271949267006	8.25394421062912	7.75711204567363	8.11924065520567	7.91081630546761	8.28594440287526	8.44601824706668	8.48741737062191	8.11792003663998	8.50275085757941	8.52750052537024	8.26513794446007	7.99705869876529	8.01672019211963	8.18425437763589
"Nono"	9.39886654788421	9.68821170962509	8.93254790139974	9.2300643780774	9.77256215907372	9.19214113979551	9.15619474597879	9.31910285131843	9.72106597486435	9.68163891443426	9.94320479198828	9.47063457338589	9.14958779104665	9.45718474861198	9.21147022704334	9.05624662707203	9.28943405015394	8.43176248111014
