"CT0_1"	"CT0_3"	"CT0_4"	"CT12_1"	"CT12_2"	"CT12_4"	"CT16_1"	"CT16_2"	"CT16_4"	"CT20_2"	"CT20_3"	"CT20_4"	"CT4_1"	"CT4_3"	"CT4_4"	"CT8_1"	"CT8_2"	"CT8_3"
"Sptan1"	5.0064150775101	4.67177684622995	5.91867494111436	4.78152239130268	5.06098767356361	5.81671531646881	5.41474119181651	4.96242992776743	5.39418613922764	5.42374690453307	5.57371651729322	6.032574119204	6.05012530943718	5.57983280709479	5.56115081549467	4.47608185505594	5.27181455088939	5.53003478498906
"Son"	8.50321444600693	8.94554954900687	8.45528515022319	8.6701585510441	9.10108508642288	8.72440014255957	8.93670968407895	8.7636682298818	8.84049180610542	8.7091049267684	9.21438618915347	8.59335160203349	8.73844544938271	8.90608374343365	8.47274958811956	8.03845341983803	8.75094607101998	8.81452764234324
"Lmnb1"	10.3533848162683	10.8717862620108	10.6115525366784	10.350748208622	10.7392903387386	10.607876351689	10.5108886115346	10.4910470151111	10.5595942249186	10.507285765846	10.9046759540569	10.4005872086819	10.6639349087536	10.8416054024706	10.4650668106685	9.88140239831358	11.0738014686735	10.7369399838785
"Ahctf1"	6.86951457283697	7.32694051023645	6.94204509728354	6.82741206957679	7.26604191215456	7.0556298892295	7.25954865183742	6.8571140866903	7.05147457872849	6.96582282659042	7.32212650713561	7.06646740660788	7.18446602042221	7.25138890041327	7.17363931981261	6.554542514392	7.38236756996567	7.18360815137656
"Nup98"	7.74889401042604	8.47045145946901	8.17499403696507	7.8345358206378	8.22880875091332	8.14885516869165	8.2894155633497	8.13206004169059	8.28036651109412	8.02043528780118	8.44248527317102	7.7640177473458	8.24944294682762	8.23564007236596	8.16075052510779	7.84233633656596	8.34768262319928	8.33364040281902
"Sf3b2"	8.58767749741903	8.22276662707584	7.54946612833119	8.74202163499081	8.6525561929031	8.06370668648304	8.10767318435581	8.31652426437191	7.91778712392884	8.70948599733793	8.27333429426077	7.77763225876842	8.47483263531589	8.30534797991633	7.79973502513301	8.66146109290666	7.82629362266692	8.22193652438578
"Sf3b1"	8.59521863812583	8.35836284544069	7.6167570462501	8.7357619945631	8.69383621051013	8.09044338115668	8.14269283652111	8.22522474461609	8.07406914845183	8.69171392251454	8.27132757791015	7.83676765582603	8.60862626835447	8.19678038562664	7.90564772547941	8.7238406344048	7.73907466747896	8.16463109489211
"Pdcd11"	7.78931262126474	7.89210453110107	8.14267659942253	7.96465034920158	8.01761174662371	7.90056915513527	7.90343740648637	8.05256943117474	8.08636192474543	8.02800439006693	8.06491747797854	7.85906339341878	7.71239016802464	7.95404291692303	7.66917394745516	7.5657069458956	7.96420401841346	8.11456558489768
"Rrbp1"	7.06192325050516	6.02028434732141	5.96346213271911	6.42411283740763	5.4020567735264	5.67068191752358	5.30089265713023	5.89388450349892	5.82013427413282	5.44743553699024	5.48607892970833	5.88135306838119	5.60061593420892	5.30299971324316	5.40500470517796	6.06903234237484	5.93047471679044	5.3798711453528
"Hnrnpm"	10.0210281506877	10.2154183395195	9.878371406658	10.1590012770423	10.2533097666688	10.2962637326205	10.3910518432217	10.3025923744085	10.3532556898996	10.2541775341367	10.5439161591387	10.1401536596491	9.81731431489694	10.0918356703486	10.0418563652754	9.44402214706482	9.18231028896042	10.2323201954018
"Polr2a"	7.88263713416066	7.0702838773516	6.57236552739349	7.36295838290621	7.19034852910893	7.13445427451702	7.00944520526198	7.22619034695534	7.16145644465515	7.21596862091777	6.6967494362757	7.00056187937296	7.36448927069473	7.01218076930197	6.84112921729195	7.80849830574345	7.05192679872698	6.7378647858978
"Lmnb2"	10.8218431374786	11.3170961020883	10.9899529763528	10.9202233224547	11.2023341918415	10.9876753964439	11.0290884684775	10.899802943229	10.9895714017013	10.9503186151653	11.3839604099665	10.764130580685	10.9638821818358	11.1746454999706	10.896602659993	9.98178897226714	11.3121761685868	11.2496941508676
"Utp20"	6.990468015578	7.03088437843974	7.1240073537699	7.04495672367451	7.08471681973293	7.03333738715294	6.86250770642146	7.0946020804497	7.0448741553325	7.07553262938	6.98431038555064	6.69972674873877	7.13550636862762	7.05507108429043	7.00177005224267	7.22409802188342	6.96879129783573	7.11364645439452
"Mybbp1a"	8.70981383348473	8.31838255086424	8.82654463036303	8.59276489278446	8.6215567761843	8.46863930870736	8.62169275807758	8.86157595324211	8.67466322941551	8.78158116508671	8.5853071092853	8.29622786936797	8.17153789397278	8.54590758520466	8.46851518470975	8.45908976134027	8.20131611073653	8.71998211015367
"Dhx9"	10.0843290700068	10.4936521443029	9.84756078726323	10.2055857727303	10.6485393188001	10.3564385360859	10.3033618855144	10.3999856026136	10.3914434261092	10.4421810929713	10.6374322912988	10.2374592733229	10.1167575956291	10.2020178557872	10.2187703838055	10.2397151286652	9.84374689823255	10.372613336124
"Smc1a"	7.27023184674246	6.15054139720311	6.16185564601181	6.55610277720222	6.38551117009754	6.57020271428429	5.85910725681033	5.94477826212626	6.57669065423341	6.17886080136605	5.93981774238866	6.24506420143189	6.37655745240068	5.86085844526493	6.53977416573513	7.34487489649504	6.57520228504781	6.39370230548159
"Sfpq"	10.1508500078233	10.6797533017468	9.80802692250298	10.5742169728966	10.755976533907	10.2296577184601	10.0256281814311	10.3951086049588	10.1859863576146	10.675319383935	10.8906695612289	10.1489546899287	10.1616454281998	10.6673962563888	10.053295614956	9.89208404110479	10.3272643017807	10.5833595564316
"Supt6h"	6.94722779985768	6.39299281612733	5.62007397318395	6.58222486078727	6.72072257448423	6.4444924646608	6.17582266207186	6.35156751426094	6.12962185980374	6.45702607927445	5.82443195971125	6.06060435257626	6.66026181821776	6.25271598533967	6.03488562588112	7.11537896230736	6.49823558931885	5.89030907301154
"Acin1"	8.22251983366353	8.04836375011412	7.50287471935408	8.11684543645003	8.1931198436937	7.73520611047763	7.96562361692011	8.04577838944613	7.77627422855614	8.11359117892092	7.88682852027248	7.59747502385359	8.19864555491541	7.98616795378326	7.58788702925267	8.07710132453771	7.50089303028129	7.93129255491029
"Krt8"	8.60447481303196	8.5716005297428	8.80070747785448	8.23886632607113	9.12493677866562	9.08016239271877	9.04005572777224	9.35654463125126	9.15312033772544	9.35774262370297	9.24477831931844	9.58479631037746	9.26995955914583	9.31322093852869	8.56820503895806	7.73267021405135	9.45108637502723	9.1018194721378
"Chd4"	6.11779662469114	4.99904178202975	5.19243033752684	5.01565744632544	4.87377656577063	5.08449913201327	4.76337154264094	4.73828650307741	5.11008118475672	4.5382344798616	4.17616060384425	5.16418383154361	5.00314166017438	4.62395724338242	5.57185931511151	5.98725161657269	5.16454062755244	4.97114351795747
"Znf638"	7.1088660655168	6.90445091352154	5.78160717723353	6.98054701666409	6.79941334605808	6.54611479478183	6.80731285660509	6.77012891879358	6.43594983947794	6.96948637343591	6.65023097060438	6.72287312040278	6.76130271449105	6.87052337433052	6.59613001027445	6.89148284925501	6.55823299586639	6.81438909675835
"Nup155"	8.08436380040529	8.940927780494	8.59462532342845	8.23336602921372	8.74626617629567	8.60163603834777	8.61177182407539	8.38808422595367	8.55590987642162	8.49591429223664	8.86815767945845	8.2537974423878	8.66065129141662	8.54675923303729	8.54366261711677	8.08739191907092	8.86728579158307	8.73551534389167
"Sptbn1"	4.07725695212332	4.03805100158328	5.25853806267036	4.14374230224747	4.26698465800625	4.98297233972726	4.7293463252968	4.32619295984135	4.76653388497541	4.32215887954037	4.79460634220876	5.11220127842022	5.23805060151622	4.73587815407175	4.79397572250345	3.78373467642341	4.64086691515548	4.50260912723915
"Urb1"	6.60709083169093	7.02392417745371	7.08347562028665	6.79923026881922	6.80294362339389	6.79763922766503	7.04461690522589	7.03466211892643	7.09580917859678	6.82228830953569	6.76345848656865	6.67337691140181	6.62618996471865	6.47668320247554	6.82812124187971	6.50225505612267	6.82260039817131	6.91645769586425
"Trrap"	5.96107832832773	5.23977749199346	4.75182099032281	5.57334760862134	5.57864301854024	5.29289144712527	5.54663908536788	5.45734463143457	5.56758742462189	5.12496666565512	4.8320474003867	5.4624450269496	5.44121448925373	4.55300924877169	5.241922678741	5.86625304749106	5.27505739365865	4.78939487799651
"Myh1"	-3.98591234549304	0.448191535366206	3.40547413640906	-6.22390096013011	-6.81167063682401	-6.16315892402387	-3.95543838206193	-2.74098777124146	4.44910888504226	-5.28240052439047	-2.50950613004986	-3.42222144793014	-6.42790026800526	-6.89812102471529	-6.60659507424758	-5.57812756219814	-6.34941738895369	-5.86810448590663
"Nup93"	8.68784817837948	9.28851975668794	8.7599838514678	8.79025155213833	9.11928029103007	9.04286031958175	8.95901426673548	8.89493406559127	9.07467977366001	8.94977976256092	9.06003439104903	8.63605966256104	8.87171971849546	9.1526658150884	9.07478786332314	8.73258065573724	8.87289483907345	9.1380502037853
"Atrx"	4.65404183999754	3.60727873719787	3.34193035046182	3.68368487740198	3.50884496159867	3.38626599897417	3.23464146500209	3.53495080560017	2.97783078979281	3.50448165668965	3.08776869091825	4.2167580923482	3.5586653692333	3.71532084951221	3.98166596365412	4.25717596910323	4.0741638292996	3.61053163709736
"Prpf6"	8.39497214833138	8.32510957910661	7.50102879922413	8.21830737794227	8.53156962831312	7.82542774153375	8.2059056482542	8.44430539749925	7.92923231148873	8.43843678395728	8.33891502870699	7.93221799937878	8.43768894352688	8.48461296223719	7.65912689889114	8.2012243370544	7.92928468276463	8.35652728128834
"Spen"	4.6722126096487	4.14728683707948	3.42685971041388	4.19968311443559	4.16259754792569	3.66420261647029	4.25320743515496	4.38759101550914	3.65411589725644	4.29544147400457	3.67011891355984	4.03489322220361	4.48241578846125	4.18765118092251	3.71122952243944	4.22785819594879	4.17643951897818	3.72004779239894
"Nup210"	8.66277657497737	9.26431411799576	8.95070987365758	8.36881460539644	9.19396604353921	8.92093502282534	9.08762328081253	8.83406469214453	8.7609790224588	8.80259172295506	9.26006923414648	8.70732091181801	9.02086716846803	9.03248337532363	9.01761042744376	8.59396898407847	9.59888322955493	9.10825343949544
"Thrap3"	8.17649568984238	8.21087302718685	6.80951816175277	8.54027451335065	8.51270929776154	8.15908446165614	8.04577586775986	8.24246923043587	7.48240112464808	8.7733043107871	8.21719490763428	7.6865555123323	8.22590920376873	8.29357390452732	7.70897981607704	7.99922338407719	8.10911669533105	8.23422690980078
"Srrm2"	6.21642951697727	6.05142260559608	5.28724986398654	6.30784629678321	6.31908084998619	6.14805826448089	5.94358656385904	6.00398738619361	5.92396814240164	6.48341688971211	6.08158458002142	5.58880173218664	6.09476227801687	6.15237910444319	5.96083214951041	6.39404416738463	5.7324739698173	5.98978915099431
"Myh4"	-6.62197110185672	-1.5650577918045	-2.38029680839166	-5.67518198612142	-5.48190182432315	-6.7755993783193	-6.68425252163585	1.03643606000606	1.01655432830557	-6.7190626964228	-5.95241245650966	-6.15704496990547	-5.98955257666237	-6.15150035212932	-5.38375883039973	-5.57913248862666	-5.65903782789765	-4.16383695040337
"Nup107"	7.38256908554958	8.31443977808359	7.83985787636242	7.78099523433774	8.00849207749009	7.83591749103631	8.00905682854271	7.7858822281993	7.88137525255708	7.73451231525766	8.21656962157303	7.61774641362355	7.99396152429431	7.94923798194666	8.14922840289484	7.5246711651428	8.12879971315607	8.11688865592184
"Ddx21"	8.58785136064716	8.37550014561693	8.2258428154425	8.33359837440738	8.25113700478557	8.06455933949223	8.49801451339229	8.69228641099937	8.41528058700063	8.58781234951359	8.37104467572949	7.86010736424474	8.24258811322595	8.31759866369769	7.69737656399661	8.27193841967688	8.18269757920294	8.31625620619408
"Nup214"	6.0770494505987	6.74330296761465	6.08624015295317	6.25466410441214	6.12136837112377	6.49211389518377	6.57871305870453	6.3809229370073	6.58897532352456	6.28153248875644	6.53731363263197	6.2740098536347	6.48367409729947	6.44898628427508	6.40330960396926	5.51570213365754	6.29254747841674	6.48369585677605
"Smchd1"	5.39720904870686	5.04391212547155	4.26290064991298	5.0274214811525	4.86951000020768	4.98397866559169	4.75970227233266	4.75966956283969	5.04350337442022	4.4680973356696	4.21414520325072	4.46816928748197	5.16527911503254	4.30196990100517	4.60228174182073	5.79942483225699	4.7699514958598	4.70141971507539
"Lrp1"	2.44447851098373	3.9697244752989	5.10423467856204	2.62270873322966	2.65762557010913	3.60837590129457	3.16666434381492	3.04737096605943	3.24246849644079	2.65821292056965	3.2586176875495	4.09792030043473	3.38339801834469	3.61762673365491	3.82183769559762	2.94222984659669	3.12167385510134	3.38124270516856
"Sf3b3"	8.79239537230108	8.49380996271998	7.63166421704722	8.69774509887544	8.7931128731054	7.96604842158203	8.24129752579043	8.34515539377069	7.75589832210152	8.6744590655956	8.09438636658441	7.56266930308627	8.71139151804048	8.47214256029659	8.23644231745124	9.14969536121422	7.92713828854579	8.31067790871283
"Dsp"	4.09244808081695	3.00246154508119	2.77311369123754	2.48164372125619	4.30559016247571	2.8487829597471	2.63806077577916	2.65843280994391	1.99530119704569	2.89796056079019	3.08754372855475	3.32806577104577	4.02505898666114	3.4978460213618	2.68614323422782	2.83238394107662	2.99956139684769	4.94001979252952
"Dido1"	4.93625833635569	4.23379806931272	3.14919832729345	4.51536612169616	4.29710913844817	3.69166209047131	3.74451147712276	3.80149403548082	2.99954685593969	4.48703716735462	3.96137627047087	4.43176752962601	4.18883928231958	4.33118352640649	4.48906440809018	4.91307698040488	4.6156004814321	3.66552870932107
"Nipbl"	5.51175492661214	4.77599464595883	4.80106239783012	5.03415184804542	5.07052339859334	4.7285015989725	4.66489206020891	4.59251644642971	4.81304221048629	4.4569581062058	4.17580073428435	4.70318233897674	4.8387658068297	4.47080808303488	4.79669022997434	5.49207990501289	4.87417240327584	4.72933600388837
"Sltm"	6.61357526804116	6.8424682646172	6.18499760535773	6.83815611551303	6.84663827979778	6.42348333446516	6.57567608167291	6.83371997403229	6.64930659016605	6.82503432684531	6.62884509506827	6.23774616552948	6.93940614634609	6.687532840332	6.43203249094277	6.49870269564831	6.40511459759439	6.68055165671455
"Mad1l1"	6.23832530563328	6.7888446424322	6.04560449188238	6.29398778050023	6.54670326828902	6.09843109581936	6.61569931112073	6.56580777854673	6.33619029632859	6.51363746929546	6.87517766213931	6.00552605008747	6.51040436957376	6.705178911618	5.84962911767463	5.83388705452998	6.06773969536857	6.44718577644213
"Tasor"	5.27686567835708	5.31724977011119	4.25461022306025	5.2287742211224	5.20297670652307	5.29947421661779	5.11819182469179	5.0584508799236	5.33763458156435	5.34160146437442	5.35090276178194	5.02950198907588	5.10292697825123	5.26314579764851	4.94778990761132	5.5284428001741	5.12229871511142	4.9020909827965
"Smc3"	6.79397350151334	5.88595037275787	5.94712574506158	6.34273212036896	6.21342996774419	6.31022769782999	5.48495726234643	5.32366893955173	5.9320280797734	5.74917817959792	5.50227662523426	5.88118677975583	5.85218172544883	5.4287610225864	5.98981500148587	6.90691702701054	6.12967779285815	6.17870616831839
"Mia3"	3.86298272825254	4.42421337183453	4.35746115366724	3.8496555483864	4.45569617688149	4.52555441999444	4.38545645519979	4.23508597269709	4.20932241559727	4.00145329646312	4.61012791365857	4.68286370153636	4.13463855196541	4.10264932583702	4.03790051407484	3.07535482382654	4.72166376390774	4.46427678651474
"Top2b"	6.89097675314165	6.48819990738142	6.47636361803832	6.59237972516552	6.30647864829124	6.48006442608301	6.2402765351523	6.36268090583789	6.43856046567748	6.38313539232705	6.1636920616993	6.07902059630878	6.78317458867866	6.21928440679482	6.5356967405846	7.2191824890832	6.53143303797344	6.49111947811404
"Cdc5l"	7.45678959951666	7.06308499164332	5.75201695212458	7.52457398677819	7.46364690287823	6.63439337887478	6.79500919206084	7.01969400123181	6.31460574680025	7.40214120339938	6.98903692008062	6.5614009234364	7.520898280892	7.14163621109687	6.45047293888923	7.65110273206542	6.89077944691714	6.98804644977827
"Itpr2"	2.6428291976321	3.35512072432306	4.12579844630705	2.36483269599428	3.4396049919151	3.88993601583004	3.39736526203328	3.46338782208733	3.38494600233338	3.05898820518303	3.51690294001771	3.28081382526341	3.48661585513224	3.15302576043525	3.30491288042473	2.34149941759547	3.64468964260825	3.31675854752304
"Smarca5"	7.13526035025328	6.70185661604626	6.90038830920572	6.70959706444062	6.58217001705905	6.619453741973	6.56962905927821	6.73276418394347	6.88804755193239	6.33080158783866	6.13150407753418	6.51920689532314	6.70179495242452	6.22866418981497	6.61235013119015	7.06327079302974	6.47480560980152	6.30645237123797
"Sf3a1"	8.14595610507948	7.80934838185829	7.09600254377474	8.12220603397395	7.95855234829451	7.30049245169419	7.68190127970073	7.90408915461381	7.38505706678245	8.17205670892034	7.52275077689719	7.07687871437743	8.07652024692766	7.69402738658677	7.37715880575643	8.33843119473736	7.39299373899279	7.75163297867223
"Matr3"	8.33486092748601	8.53270243971275	8.35138240920631	8.3246875058993	8.27087175011017	8.29564496666149	8.09137298329267	8.01612127129463	8.31315965052063	8.25712231039901	8.21450015729939	8.07448222066807	8.4949833711117	8.30080678577855	8.40774149622265	8.39448083267916	6.96497986458951	8.14102986873458
"Eppk1"	3.81733908005701	3.64440892410233	3.96092258075474	3.27584179591577	3.91037126311904	4.16398388479625	4.42144391805387	4.52447667665658	4.52916106213113	4.8752344216011	4.38869438920568	4.95012523440845	4.7575939269669	4.49049054331238	3.8841449032522	2.4533770231592	3.95023484061031	4.61455724237952
"Ddx5"	9.39583211909219	9.40295815900467	8.96853882337808	9.31771018625721	9.77017202094379	9.22247015178436	8.94832745100208	9.52412873672552	9.20705967271897	9.58772139304029	9.56622190629073	8.88716345544502	9.162556752467	9.61745829888211	9.28485345476372	10.0698375396007	9.08426671333257	9.39252740211351
"Myh10"	0.699961667501437	1.63726692503711	2.99435491723825	1.43240804259668	1.46516268251982	1.66286404737108	1.27814621550703	1.42955669203753	1.63214199658507	2.13043124155822	1.90954594844582	2.2555354654129	2.17149101923022	1.63337831399404	1.6149019292742	0.905889119676903	1.44791412211455	2.23233943828536
"Setd2"	4.66054772904797	4.38317017895475	3.74870027450485	4.77446756476589	4.77125180222764	4.42234710230634	4.50382506873607	4.5546549801964	4.39218391988969	4.47769186993742	4.55192057609029	4.68444761374792	4.38729181191656	4.49162345854924	4.36547289469184	4.5958563594485	4.188215164873	4.01369860799859
"Safb2"	6.38176749110407	6.52453443868484	5.88914224644765	6.46704028938209	6.1310533980051	6.26948297481698	6.27487373916643	6.53257498108943	6.66228024801414	6.49168691673104	6.34163978435762	6.24751468597923	6.36559278844997	6.34306139199899	6.03253570534262	6.33803491556418	5.44936068215081	6.39529218155596
"Tor1aip1"	8.60623639514409	9.3808962643762	8.96272933583818	9.06265426197795	8.98321921758537	9.04536761190595	9.02703485669728	8.99422146606025	8.75892701442948	8.84321462609166	9.16269210233163	8.61958705745062	8.81741363047736	9.00419446532971	8.82928214006221	8.36244873642562	9.63225196211274	9.20749601986869
"Myh2"	-5.83213182870787	-4.96336858327328	-5.43060217114439	-6.68744958463042	-5.59981210234386	-6.16393848274758	-3.89476791776518	-4.32895210252626	0.617435691434562	-6.05677492716515	-4.42172901265395	-6.0095047634951	-4.30799653742268	-5.48891699994716	-5.21519269478137	-6.08032475724299	-6.31476740357578	-5.5856661197628
"Cebpz"	6.31738169334825	6.64120622236914	6.63384677848667	6.42573701704474	6.40276523875241	6.17169746179373	6.4172535904791	6.49403073757539	6.62722063151474	6.35740138008951	6.41643431976352	5.91769160917573	6.4779444736117	6.41691767761476	6.1361432181031	6.19352217962632	6.5703047005913	6.36444430393496
"Polr2b"	6.78385833898009	6.13147908556258	5.58145764958872	6.48454446439979	6.0429939365391	6.00188198436484	5.98831364013173	6.1664845875684	6.14694220316152	6.28165499716741	5.77531912616572	6.10769031133349	6.45259021060903	5.87708211263275	5.9065114432112	6.73694991323945	6.0700607851752	5.67173108151486
"Pnn"	8.23857119392158	8.56434740799511	7.62288033193039	8.44601824706668	8.48741737062191	8.11792003663998	8.50275085757941	8.52750052537024	8.26513794446007	8.59734036069078	8.33043194175997	7.97070245870268	8.59271949267006	8.25394421062912	7.75711204567363	8.11924065520567	7.91081630546761	8.28594440287526
"Nono"	9.39886654788421	9.68821170962509	8.93254790139974	9.68163891443426	9.94320479198828	9.47063457338589	9.14958779104665	9.45718474861198	9.21147022704334	9.602805856431	9.96734841522006	9.18465564241121	9.2300643780774	9.77256215907372	9.19214113979551	9.15619474597879	9.31910285131843	9.72106597486435
"Ccar1"	6.99489323111598	5.51717723254253	5.20522256046578	6.1862738917705	5.41675223906157	5.8855606219583	5.14386340616614	5.42118842819094	5.48006518563218	5.87227826530918	4.97371678894062	5.56056361245599	6.53044977713749	5.60681800949406	6.07387685772386	7.60203773093388	4.97152492488488	5.17049667760184
"Nup133"	7.21518480678883	7.913462053486	7.26633249969752	7.46674454394346	7.74190898240701	7.48459354078078	7.64712956446629	7.59938449056736	7.59759565434226	7.55134794299716	7.87997538851583	7.30937718647362	7.68932327727839	7.7158591250506	7.49396596426245	7.12661367931777	7.71687421254343	7.74008381588306
"Sart1"	7.22780676721704	7.551318138698	5.82517836135755	7.13817202399347	7.47517008161032	6.43677730984775	6.8630769732053	6.72035671869114	6.17659908729342	6.99466983069511	6.78563728120741	6.03980449457261	7.40730229979747	7.05587186174433	6.10021082058883	7.14285719072463	6.27933067985903	6.91515930067757
"Flna"	1.64519351181687	0.337973527737329	4.81195877319792	0.949576142535722	-0.523677671480204	1.71493637475605	2.26987089695835	1.91753879038084	2.47220103226908	0.397397116526893	0.586084174227395	1.79074111980143	2.4961669362986	1.62970502240327	1.14744929175278	2.20248488294635	0.560596830410852	1.93168609365232
"Chd2"	4.71274483531204	4.33894169248519	3.77326526599968	4.30174839077205	4.36901089481898	3.99490167809362	3.99450996146492	4.22016799009255	3.84707612573066	4.20938842263477	4.08591150189012	4.08500287884365	4.52045899338152	4.46834740959837	4.17546259528842	4.98247403015014	4.82980217245475	4.10254551627045
"Nup188"	6.53436790036017	7.03453124963362	7.15561839293169	6.41530669399138	7.09886473503716	7.18262575922492	7.21605307471615	6.95022079112987	7.158368902211	7.18427566144337	7.25314256883549	6.86658215069582	6.93492012726572	7.18957207554622	7.06943362678951	6.3596994633481	6.86969053835369	7.42175232080883
"Mcm3ap"	5.9917504171965	6.46716801775424	5.9118190947104	5.91441960776634	6.30925617988084	6.22005599026352	6.24908981978384	6.20500770165345	6.18900900924708	6.07897188878219	6.49194515291318	5.94289775573864	6.19935552878465	6.28262659967552	6.39460754097813	5.9794482757296	6.44252361024774	6.47138510479203
"Sympk"	6.52444916836087	6.10306943719873	5.43510488888242	6.30621453294878	6.0509083478694	6.1152054823524	6.01022321719862	6.10857828531315	6.13227457793954	6.31184285918097	5.71899596729838	5.84605200433852	5.93786178640274	5.94048978609435	5.78528031882665	6.3250154349387	5.4222230398693	5.73745722076366
"Sun2"	6.25057557502167	7.06872519448382	6.97193750790056	6.68922782800847	6.89018666872718	7.00979994996523	6.91132852547377	6.79270234145931	6.90770114986266	6.40791332618477	6.83434370535893	6.19527304852777	6.71820976469014	6.8376671608969	6.4854762518208	6.24815190243688	7.33126972226466	7.10325416830162
"Thoc2"	6.54153629120633	5.79621847636486	5.53675441494508	6.24242405393103	6.35415622358069	6.107108198487	5.95589579151767	6.1505025938561	6.17592314926484	6.29247719239492	5.69733988342939	5.9425035134433	6.53680402491793	6.06040523038463	6.149419039596	6.23852990186191	5.27476092378009	5.76924964519621
"Nol8"	5.93903427304669	5.93014252685309	5.78988726862204	5.94350082166356	5.78594759046064	5.87746645030947	5.73655888396357	5.95572144979184	5.71644795679608	6.0121724418968	5.66464716714733	5.73202480236066	5.68422346376928	5.73381223195729	5.6805425421903	5.61908358007713	5.89215422432513	6.09663732308301
"U2surp"	6.84060213558087	6.30580609569257	5.66229119521992	6.82120816588038	6.90260839601606	6.40356419022168	6.2735302362482	6.39997626488558	6.11516846339336	6.79022444272076	6.32601633547132	6.23170445601493	6.8048260828475	6.31051929963976	6.13180490928992	6.67606499450535	5.86693294465892	6.38632739396414
"Baz1b"	5.84520138740485	5.69731192612897	5.52343200199357	5.4023268360662	5.17467425125681	5.06945896110789	5.00057270236587	5.21477974624925	5.3022475416522	4.99067834938482	4.81273356202185	4.6997500779573	5.45651884260385	5.1703622479735	5.21502112214366	6.00032688040237	5.49210139229412	5.12553680849318
"Trip12"	5.1265230492491	5.0453999269318	4.70013010352266	4.76034668866101	4.5997579778179	4.39274319220571	4.86257564817752	4.7273696449797	4.58555730555085	4.72713534546278	4.7996157859681	4.63251217189729	5.11962159289445	4.56911455675032	4.97634419264292	5.43507848880219	5.01846630406356	4.49507862869311
